draft_year,avg_rating,elite_count,above_avg_count,top_prospect_rating,top3_avg_rating,top4_avg_rating,top5_avg_rating
2010,65.1,5,32,90.9,89.8,88.95,88.16
2011,64.1,3,35,93.3,87.86666666666666,84.475,81.64
2012,64.7,4,35,100,88.16666666666667,86.55,84.4
2013,64.3,2,35,95.7,85.10000000000001,83.1,81.4
2014,63.1,3,31,90.3,88.36666666666666,86.125,84.7
2015,66.1,4,35,90.5,89.06666666666666,87.32499999999999,84.6
2016,63,1,34,91.1,81.9,80.225,79
2017,67,5,32,99.8,91.9,90.025,88.58
2018,63.4,5,27,100,96.86666666666667,94.5,93.06
2019,63.9,3,31,95.4,88.8,84.725,82.28
2020,61.6,5,28,94.7,90.7,89.5,86.60000000000001
2021,60.3,3,25,93.4,90.06666666666666,86.475,84.3
2022,59.7,2,26,94.8,85.26666666666667,82.65,80.86
2023,63.4,6,29,100,91.6,89.675,88.56
2024,61,2,30,90.4,89.53333333333333,86.525,84.18
2025,70.6,9,35,95.3,93.96666666666667,93,92.36
2026,71.6,12,35,100,94.43333333333334,93.05000000000001,91.88000000000001
