draft_year,prospect,position,archetype,rating,offensive_rating,defensive_rating,consensus_rank,rank_in_year
2026,Cameron Boozer,PF,Forward,100,100,73.4,2.3,1
2026,Caleb Wilson,C,Big,92.9,91.7,82.7,4,2
2026,Aday Mara,C,Big,90.4,70.5,97.2,17.8,3
2026,Kingston Flemings,PG,Guard,88.9,93.8,63.9,6,4
2026,Ebuka Okorie,PG,Guard,87.2,98.2,21.8,37,5
2026,Tyler Tanner,PG,Guard,86.8,90.5,64.1,26.3,6
2026,Hannes Steinbach,C,Big,85.5,86.1,68.2,12.5,7
2026,AJ Dybantsa,SF,Wing,83.1,96,27.4,1.5,8
2026,Yaxel Lendeborg,PF,Forward,79.5,68.2,82.2,12,9
2026,Flory Bidunga,C,Big,77.9,62.2,91.1,45.7,10
2026,Darryn Peterson,SG,Wing,76.3,90.8,43.9,2,11
2026,Darius Acuff Jr.,PG,Guard,74.9,96.8,6.8,9.5,12
2026,Keaton Wagler,SG,Wing,73.3,93.5,25,7,13
2026,Zuby Ejiofor,C,Big,70.6,58.6,83.9,42.3,14
2026,Labaron Philon,PG,Guard,68.7,91,18.3,10.5,15
2026,Christian Anderson,PG,Guard,68.4,86.9,33.3,19.5,16
2026,Tarris Reed Jr.,C,Big,67.6,48.3,88.7,41.3,17
2026,Bennett Stirtz,PG,Guard,63.5,71.5,43.4,19.3,18
2026,Ugonna Onyenso,C,Big,63.3,33.2,95.1,,19
2026,Brayden Burries,SG,Wing,62.1,62.5,61.1,17.7,20
2026,Henri Veesaar,PF,Forward,61.5,55.9,66.5,34.7,21
2026,Bruce Thornton,SG,Wing,61,70.5,37.2,56.7,22
2026,Cameron Carr,SG,Wing,60.1,58.7,61.9,17.8,23
2026,Milan Momcilovic,SF,Wing,58.5,66,42,43.3,24
2026,Nate Ament,SF,Wing,58.4,59,59.5,11.7,25
2026,Dailyn Swain,SF,Wing,58,51.6,65.5,23.3,26
2026,Tounde Yessoufou,SG,Wing,55.8,52.3,62.5,31.7,27
2026,Joshua Jefferson,SF,Wing,55.3,37,74.6,27.7,28
2026,Alex Condon,C,Big,55.2,41.7,70.6,37,29
2026,Rafael Castro,C,Big,55,34.1,78.5,,30
2026,Patrick Ngongba,C,Big,54.9,41.9,70.1,14.5,31
2026,Mikel Brown Jr.,PG,Guard,54.7,70.7,20.3,8.3,32
2026,Malachi Moreno,C,Big,53.5,41.2,69.2,53,33
2026,Koa Peat,SF,Wing,53.2,53.1,58,16,34
2026,Boogie Fland,PG,Guard,51,53.9,51.2,,35
2026,Morez Johnson Jr.,C,Big,50.8,41.4,66.2,30.5,36
2026,Isaiah Evans,SG,Wing,50.8,57.3,44.6,27.3,37
2026,Zvonimir Ivisic,C,Big,48.9,32.7,71.2,81,38
2026,Maliq Brown,SF,Wing,48.9,16.4,91.1,,39
2026,Izaiyah Nelson,C,Big,48.3,31.5,71.6,,40
2026,Baba Miller,C,Big,48.1,27.8,74.4,58,41
2026,Allen Graves,PF,Forward,47.7,33.9,69,,42
2026,Rueben Chinyelu,C,Big,47.6,29.2,72.7,,43
2026,Braden Smith,PG,Guard,46.9,49,50.5,41.7,44
2026,Trevon Brazile,PF,Forward,46.4,26.2,73.9,74.7,45
2026,Richie Saunders,SG,Wing,45.4,46.1,52,47,46
2026,Dillon Mitchell,C,Big,45.3,30.9,68.9,79,47
2026,Ja'Kobi Gillespie,PG,Guard,45,44.9,53.4,,48
2026,Amari Allen,SF,Wing,44.2,41,58.7,25.7,49
2026,Motiejus Krivas,C,Big,43.8,24.6,72.3,35.3,50
2026,Alex Karaban,SF,Wing,39.5,35.5,57.5,33.7,51
2026,Chris Cenac Jr,C,Big,38.6,22.5,68.5,,52
2026,Joseph Tugler,C,Big,37,18.3,70.3,45.5,53
2026,Tobe Awaka,C,Big,37,31.7,58.4,,54
2026,Meleek Thomas,SG,Wing,36.9,46.7,30.9,31,55
2026,Jeremy Fears Jr.,PG,Guard,36.9,58.4,9.3,,56
2026,JT Toppin,C,Big,36.4,30.2,59.9,57,57
2026,Trey Kaufman-Renn,C,Big,36.3,42.9,36.2,86,58
2026,Ryan Conwell,SG,Wing,36,46.1,29.7,43,59
2026,Moustapha Thiam,C,Big,34.9,19.4,67.1,,60
2026,Emanuel Sharp,SG,Wing,34.8,40.9,36.4,,61
2026,Tyler Bilodeau,PF,Forward,31,39.8,29.4,,62
2026,Otega Oweh,SG,Wing,30.3,22.3,59.5,80.3,63
2026,Jaden Bradley,PG,Guard,29.3,25.8,50.8,,64
2026,Kylan Boswell,SG,Wing,29.1,42.5,19.9,71.3,65
2026,Milos Uzan,PG,Guard,28.4,27.4,45.8,55.7,66
2026,Duke Miles,PG,Guard,27.4,21,55,,67
2026,Cayden Boozer,PG,Guard,27,47.6,5.7,,68
2026,Billy Richmond III,SG,Wing,26.9,19.2,57.2,,69
2026,Thomas Haugh,SF,Wing,26.5,22.7,49.7,12.5,70
2026,Keyshawn Hall,SF,Wing,26.3,31.8,32.8,,71
2026,Nick Martinelli,SF,Wing,26.2,37.3,22.6,,72
2026,Felix Okpara,C,Big,26.1,7.7,67.3,,73
2026,Nate Bittle,C,Big,25.5,17.3,57.2,72,74
2026,Andrej Stojakovic,SF,Wing,25,32.6,28.1,70,75
2026,Braylon Mullins,SG,Wing,24.2,28.3,34.1,17,76
2026,Peter Suder,SG,Wing,23.9,20.8,47,,77
2026,Bryce Hopkins,SG,Wing,23.7,17.9,51.9,,78
2026,Tyler Nickel,SG,Wing,23.2,27.7,32.8,,79
2026,John Blackwell,SG,Wing,22.6,35.5,17.1,,80
2026,Tahaad Pettiford,SG,Wing,21.8,26,32.4,69,81
2026,Malik Reneau,C,Big,21.2,16.9,47.6,,82
2026,Tomislav Ivisic,C,Big,20.8,16.7,47,62.5,83
2026,Tamin Lipsey,PG,Guard,20.4,14.1,50.8,60.5,84
2026,Somto Cyril,C,Big,19.5,0,69.1,,85
2026,Aidan Kehoe,C,Big,19,7,60.3,,86
2026,Oscar Cluff,C,Big,18.6,14.6,45.9,,87
2026,Ernest Udeh Jr.,C,Big,17.6,0,70.9,,88
2026,Sananda Fru,C,Big,17,0.9,63.1,,89
2026,Darrion Williams,SG,Wing,17,18.9,33.9,73,90
2026,Aaron Nkrumah,SG,Wing,16.8,2.3,61.8,,91
2026,Tobi Lawal,C,Big,16.6,9.1,51.1,,92
2026,Bukky Oboye,C,Big,16.4,0,64.5,,93
2026,Drew Scharnowski,C,Big,16.4,1.1,62.3,,94
2026,Sam Hoiberg,PG,Guard,15.2,6.4,52.6,,95
2026,Tomislav Buljan,C,Big,15.2,2.5,59.8,,96
2026,Nolan Winter,PF,Forward,14.7,9.6,45.5,,97
2026,Silas Demary Jr.,PG,Guard,14.3,2.5,57.5,57,98
2026,William Kyle III,C,Big,13.5,0,67.5,,99
2026,Graham Ike,C,Big,13.3,9.6,42.1,,100
2026,Neoklis Avdalas,SF,Wing,8.5,10.4,29.2,24,101
2026,Pryce Sandfort,SG,Wing,7.7,10.6,27,47,102
2026,Josh Dix,SG,Wing,6.6,17.4,12.2,86,103
2026,Tucker DeVries,SG,Wing,5.1,2.8,35.2,86,104
2026,Kwame Evans Jr.,PF,Forward,2.4,0,43.6,61,105
2026,Juke Harris,SG,Wing,1.7,8.5,16.7,44.3,106
